"gender" "age" "attitude" "points" "deep" "surf" "stra"
"42" "F" 25 2.5 12 2.91666666666667 3.16666666666667 3
"43" "M" 30 3.2 24 3.33333333333333 3.5 2.5
"44" "F" 48 3.5 17 3.83333333333333 2.66666666666667 4.875
"45" "F" 24 3.2 29 3.66666666666667 2.41666666666667 5
"46" "F" 40 4.2 23 4.66666666666667 3.58333333333333 4.375
"47" "M" 25 3.1 28 3.75 2.08333333333333 3.25
"48" "F" 23 3.9 31 3.41666666666667 3.75 4
"49" "F" 25 1.9 23 4.16666666666667 2.91666666666667 3.125
"50" "F" 23 2.1 25 2.91666666666667 2.91666666666667 2.5
"51" "M" 27 2.5 18 4.16666666666667 2.41666666666667 3.125
"52" "M" 25 3.2 19 3.58333333333333 3 3.25
"53" "M" 23 3.2 22 2.83333333333333 3.41666666666667 2.125
"54" "F" 23 2.6 25 4 2.91666666666667 2.75
"55" "F" 23 2.3 21 2.91666666666667 3.25 2.375
"56" "F" 45 3.8 9 3 3.25 3.125
"57" "F" 22 2.8 28 4.08333333333333 2.33333333333333 4
"58" "F" 23 3.3 25 2.91666666666667 3.25 4
"59" "M" 21 4.8 29 3.5 2.5 2.25
"60" "M" 21 4 33 4.33333333333333 1.75 3.25
"61" "F" 21 4 33 4.25 2.25 3.625
"62" "F" 21 4.7 25 3.41666666666667 2.08333333333333 3.625
"63" "F" 26 2.3 18 3.08333333333333 2.83333333333333 2.5
"64" "F" 25 3.1 22 4.58333333333333 2.83333333333333 1.875
"65" "F" 26 2.7 17 3.41666666666667 2.41666666666667 2
"66" "M" 21 4.1 25 3.41666666666667 2.25 1.875
"67" "F" 23 3.4 28 3.41666666666667 2.83333333333333 4
"68" "F" 22 2.5 22 3.58333333333333 2.25 2.875
"69" "F" 22 2.1 26 1.58333333333333 1.83333333333333 3.875
"70" "F" 22 1.4 11 3.33333333333333 2.91666666666667 2.5
"71" "F" 23 1.9 29 4.33333333333333 2.91666666666667 2.75
"72" "M" 22 3.7 22 4.41666666666667 2.08333333333333 4.5
"73" "M" 23 3.2 21 4.83333333333333 2.33333333333333 3.375
"74" "M" 24 2.8 28 3.08333333333333 2.41666666666667 2.625
"75" "F" 22 4.1 33 3 2.75 4.125
"76" "F" 23 2.5 16 4.08333333333333 3.25 2.625
"77" "M" 22 2.8 31 4.08333333333333 1.75 2.25
"78" "M" 20 3.8 22 3.75 2.58333333333333 2.75
"79" "M" 22 3.1 31 3.08333333333333 3.33333333333333 3
"80" "M" 21 3.5 23 4.75 2.83333333333333 1.625
"81" "F" 22 3.6 26 4.25 2.5 1.875
"82" "F" 23 2.6 12 4.16666666666667 2.41666666666667 3.375
"83" "M" 21 4.4 26 4.41666666666667 2.41666666666667 3.75
"84" "M" 22 4.5 31 3.83333333333333 2.58333333333333 2.125
"85" "M" 29 3.2 19 3.33333333333333 3 2.375
"86" "F" 29 3.9 30 3.16666666666667 2 2.75
"87" "F" 21 2.5 12 3.16666666666667 3.41666666666667 3.125
"88" "M" 28 3.3 17 3.83333333333333 2.83333333333333 3.5
"89" "F" 21 3.3 18 4.25 2.25 2.625
"90" "F" 30 3 19 3.83333333333333 2.75 3.375
"91" "F" 21 2.9 21 3.66666666666667 3.91666666666667 2.25
"92" "M" 23 3.3 24 3.83333333333333 2.33333333333333 3
"93" "F" 21 3.3 28 3.83333333333333 2.75 4
"94" "F" 21 3.5 17 3.83333333333333 2.75 3.5
"95" "F" 20 3.6 18 3.66666666666667 2.91666666666667 2.625
"96" "M" 22 3.7 17 4.33333333333333 2.08333333333333 2.5
"97" "M" 21 4.2 23 3.75 3.66666666666667 3.75
"98" "M" 21 3.2 26 4.16666666666667 2.83333333333333 3.625
"99" "F" 20 5 28 4 3.41666666666667 4.125
"100" "M" 22 4.7 31 4 1.58333333333333 4.375
"101" "F" 20 3.6 27 4.58333333333333 2.91666666666667 2.625
"102" "F" 20 3.6 25 3.66666666666667 3 4
"103" "M" 24 2.9 23 3.66666666666667 2.91666666666667 2.75
"104" "F" 20 3.5 21 3.83333333333333 2.66666666666667 2.75
"105" "F" 19 4 27 2.58333333333333 3 1.375
"106" "F" 21 3.5 28 3.5 2.75 2.25
"107" "F" 21 3.2 23 3.08333333333333 3.08333333333333 3.625
"108" "F" 22 2.6 21 4.25 2.5 3.75
"109" "F" 25 2 25 3.16666666666667 2.33333333333333 4
"110" "F" 21 2.7 11 3.08333333333333 3 3.125
"111" "F" 22 3.2 19 4.16666666666667 3 3.25
"112" "F" 25 3.3 24 2.25 4 2.125
"113" "F" 20 3.9 28 3.33333333333333 3.25 2.875
"114" "M" 24 3.3 21 3.08333333333333 3.5 1.5
"115" "F" 20 3 24 2.75 3.5 2.5
"116" "M" 21 3.7 24 3.25 3.83333333333333 3.25
"117" "F" 20 2.5 20 4 2.91666666666667 3.625
"118" "F" 20 2.9 19 3.58333333333333 2.16666666666667 3.875
"119" "M" 31 3.9 30 4.08333333333333 1.66666666666667 3.875
"120" "F" 20 3.6 22 4.25 2.08333333333333 2.375
"121" "F" 22 2.9 16 3.41666666666667 2.83333333333333 3
"122" "F" 22 2.1 16 3.08333333333333 3.41666666666667 3.375
"123" "M" 21 3.1 19 3.5 3.33333333333333 2.75
"124" "M" 22 4 30 3.66666666666667 2.58333333333333 4.5
"125" "F" 21 3.1 23 4.25 2.83333333333333 2.625
"126" "F" 21 2.3 19 4.25 3.33333333333333 2.75
"127" "F" 21 2.8 18 3.83333333333333 3 3.25
"128" "F" 21 3.7 28 4.41666666666667 2.58333333333333 4.125
"129" "F" 20 2.6 21 3.5 2.41666666666667 3.375
"130" "F" 21 2.4 19 3.58333333333333 3.58333333333333 2.75
"131" "F" 25 3 27 3.66666666666667 2.08333333333333 4.125
"132" "M" 21 2.8 24 2.08333333333333 4.33333333333333 3.25
"133" "F" 24 2.9 21 4.25 2.66666666666667 2.875
"134" "F" 20 2.4 20 3.58333333333333 3 2.875
"135" "M" 21 3.1 28 4 2.66666666666667 2.375
"136" "F" 20 1.9 12 3.33333333333333 2.16666666666667 3.875
"137" "F" 20 2 21 3.5 2.66666666666667 2.125
"138" "F" 18 3.8 28 3.16666666666667 2.25 4
"139" "F" 21 3.4 31 3.58333333333333 2.66666666666667 3.25
"140" "F" 19 3.7 18 3.41666666666667 3.33333333333333 2.625
"141" "F" 21 2.9 25 4.25 3.5 2.75
"142" "F" 20 2.3 19 3.25 2.75 4
"143" "M" 21 4.1 21 4.41666666666667 2 3
"144" "F" 20 2.7 16 3.25 2.83333333333333 3.375
"145" "F" 21 3.5 7 3.91666666666667 3.5 3.875
"146" "F" 20 3.4 21 3.58333333333333 2.5 3.25
"147" "F" 18 3.2 17 4.5 3.16666666666667 3.375
"148" "M" 22 3.3 22 3.58333333333333 3.08333333333333 4.125
"149" "F" 22 3.3 18 3.66666666666667 2.91666666666667 3.5
"150" "M" 24 3.5 25 2.58333333333333 3.16666666666667 2
"151" "F" 19 3.2 24 4.16666666666667 2.5 3.625
"152" "F" 20 3.1 23 3.25 3.83333333333333 3.375
"153" "F" 20 2.8 23 4.33333333333333 2.25 2.125
"154" "F" 17 1.7 26 3.91666666666667 3.41666666666667 4.625
"155" "M" 19 1.9 12 2.66666666666667 3.75 2.5
"156" "F" 20 3.5 32 3.08333333333333 3 2.875
"157" "F" 20 2.4 22 3.75 2.58333333333333 2.75
"158" "F" 20 2.1 20 4.16666666666667 3.33333333333333 4
"159" "F" 20 2.9 21 4.16666666666667 2.83333333333333 2.375
"160" "F" 19 1.9 23 3.25 3 3.875
"161" "F" 19 2 20 4.08333333333333 2.83333333333333 3.375
"162" "F" 22 4.2 28 2.91666666666667 3.16666666666667 1.75
"163" "M" 35 4.1 31 3.83333333333333 2.75 3
"164" "F" 18 3.7 18 3.16666666666667 3.41666666666667 2.625
"165" "F" 19 3.6 30 3.41666666666667 3 2.625
"166" "M" 21 1.8 19 4.08333333333333 2.66666666666667 3.375
